"","YEAR","STATE","TYPE","TOTAL","NATIVE_AMER","BLACK","MULTI","WHITE","HISPANIC","ASIAN","PACIFIC_ISL","POC"
"89",2017,"NM","OPERATIONS",67638,17.566,0.145,0.733,56.414,24.798,0.265,0.08,43.586
"90",2017,"NM","OPERATORS",96660,16.047,0.117,0.57,59.738,23.207,0.265,0.056,40.262
"91",2017,"NV","AREA OPERATED",10058704,7.46,0.103,0.138,90.671,1.52,0.108,0,9.329
"92",2017,"NV","OPERATIONS",7486,5.704,0.24,1.55,85.934,6.065,0.508,0,14.066
"93",2017,"NV","OPERATORS",11308,4.395,0.159,1.035,89.14,4.899,0.371,0,10.86
"94",2017,"NY","AREA OPERATED",13057078,0.213,0.115,0.22,98.438,0.847,0.127,0.04,1.562
"95",2017,"NY","OPERATIONS",68423,0.295,0.276,0.621,96.957,1.364,0.377,0.11,3.043
"96",2017,"NY","OPERATORS",104705,0.21,0.224,0.431,97.775,1.015,0.273,0.072,2.225
"97",2017,"OH","AREA OPERATED",25550636,0.051,0.047,0.21,99.03,0.61,0.051,0.002,0.97
"98",2017,"OH","OPERATIONS",157906,0.188,0.199,0.552,97.941,0.924,0.172,0.024,2.059
"99",2017,"OH","OPERATORS",232060,0.134,0.15,0.414,98.417,0.725,0.143,0.016,1.583
"100",2017,"OK","AREA OPERATED",72642279,6.613,0.716,3.329,87.567,1.66,0.108,0.007,12.433
"101",2017,"OK","OPERATIONS",173328,10.661,1.441,4.793,80.27,2.397,0.378,0.059,19.73
"102",2017,"OK","OPERATORS",240676,8.95,1.35,4.078,83.228,1.986,0.364,0.043,16.772
"103",2017,"OR","AREA OPERATED",27065240,0.688,0.015,0.582,96.61,1.706,0.379,0.02,3.39
"104",2017,"OR","OPERATIONS",80604,1.28,0.127,1.59,91.564,4.027,1.197,0.215,8.436
"105",2017,"OR","OPERATORS",125740,0.9,0.084,1.127,93.889,2.939,0.915,0.146,6.111
"106",2017,"PA","AREA OPERATED",14039668,0.088,0.006,0.28,98.82,0.704,0.096,0.005,1.18
"107",2017,"PA","OPERATIONS",107914,0.171,0.13,0.474,98.005,1.048,0.131,0.041,1.995
"108",2017,"PA","OPERATORS",162341,0.129,0.09,0.339,98.477,0.831,0.107,0.027,1.523
"109",2017,"RI","AREA OPERATED",114530,0,0,0,99.272,0.199,0.529,0,0.728
"110",2017,"RI","OPERATIONS",2133,0,1.219,0.469,96.39,1.078,0.844,0,3.61
"111",2017,"RI","OPERATORS",3240,0,0.802,0.309,97.623,0.71,0.556,0,2.377
"112",2017,"SC","AREA OPERATED",9583969,0.206,3.862,0.291,94.727,0.827,0.076,0.01,5.273
"113",2017,"SC","OPERATIONS",50799,0.563,7.15,0.783,89.675,1.431,0.313,0.085,10.325
"114",2017,"SC","OPERATORS",71987,0.414,6.608,0.606,90.955,1.082,0.275,0.06,9.045
"115",2017,"SD","AREA OPERATED",83878922,7.99,0.001,0.85,90.429,0.717,0.011,0.001,9.571
"116",2017,"SD","OPERATIONS",61125,2.551,0.036,0.625,95.931,0.769,0.064,0.025,4.069
"117",2017,"SD","OPERATORS",88563,2.096,0.025,0.474,96.764,0.58,0.044,0.017,3.236
"118",2017,"TN","AREA OPERATED",21366496,0.213,0.979,0.482,97.38,0.82,0.09,0.037,2.62
"119",2017,"TN","OPERATIONS",143043,0.375,1.359,0.693,95.942,1.359,0.24,0.03,4.058
"120",2017,"TN","OPERATORS",207217,0.29,1.226,0.546,96.691,1.041,0.185,0.021,3.309
"121",2017,"TX","AREA OPERATED",255246153,0.431,0.72,0.424,92.181,6.142,0.098,0.004,7.819
"122",2017,"TX","OPERATIONS",562559,0.843,2.87,0.962,84.499,10.36,0.415,0.052,15.501
"123",2017,"TX","OPERATORS",817620,0.644,2.543,0.754,86.526,9.13,0.364,0.038,13.474
"124",2017,"UT","AREA OPERATED",15009625,19.108,0,0.924,77.329,2.378,0.209,0.052,22.671
"125",2017,"UT","OPERATIONS",38124,3.798,0.026,0.627,92.637,2.39,0.399,0.123,7.363
"126",2017,"UT","OPERATORS",58854,3.854,0.02,0.471,93.54,1.714,0.297,0.104,6.46
"127",2017,"VA","AREA OPERATED",15244243,0.099,1.65,0.319,96.529,1.297,0.095,0.011,3.471
"128",2017,"VA","OPERATIONS",88575,0.314,2.863,0.664,94.216,1.474,0.409,0.06,5.784
"129",2017,"VA","OPERATORS",129315,0.241,2.426,0.531,95.233,1.173,0.351,0.044,4.767
"130",2017,"VT","AREA OPERATED",2323351,0.194,0.293,0.881,97.429,1.119,0.016,0.068,2.571
"131",2017,"VT","OPERATIONS",13993,0.329,0.229,1.101,96.677,1.451,0.15,0.064,3.323
"132",2017,"VT","OPERATORS",22383,0.206,0.143,0.818,97.668,1.023,0.103,0.04,2.332
"133",2017,"WA","AREA OPERATED",22317564,0.211,0.014,0.786,96.324,2.124,0.528,0.014,3.676
"134",2017,"WA","OPERATIONS",77675,1.228,0.184,1.735,89.831,5.451,1.39,0.18,10.169
"135",2017,"WA","OPERATORS",119017,0.894,0.134,1.301,91.919,4.382,1.251,0.119,8.081
"136",2017,"WI","AREA OPERATED",25451300,0.17,0.005,0.112,99.069,0.532,0.106,0.005,0.931
"137",2017,"WI","OPERATIONS",131167,0.204,0.08,0.204,98.195,0.791,0.502,0.025,1.805
"138",2017,"WI","OPERATORS",199490,0.161,0.068,0.144,98.605,0.562,0.443,0.017,1.395
"139",2017,"WV","AREA OPERATED",6740851,0.097,0.023,0.436,98.202,1.193,0.048,0,1.798
"140",2017,"WV","OPERATIONS",48164,0.276,0.122,0.714,97.405,1.271,0.197,0.015,2.595
"141",2017,"WV","OPERATORS",69568,0.204,0.092,0.588,97.975,0.989,0.139,0.013,2.025
"142",2017,"WY","AREA OPERATED",53746660,1.133,0.002,0.396,95.93,2.523,0.016,0,4.07
"143",2017,"WY","OPERATIONS",24898,1.333,0.072,1.113,94.63,2.707,0.12,0.024,5.37
"144",2017,"WY","OPERATORS",39538,1.062,0.061,0.814,96.118,1.844,0.081,0.02,3.882
