"","GEOID","year","FRR_NAME","county","percf_acr","percf_op","diff"
"2918","53059",2017,"Fruitful Rim","Skamania",25.82,37.56,-11.74
"2919","53061",2017,"Fruitful Rim","Snohomish",27.72,43.74,-16.02
"2920","53063",2017,"Basin and Range","Spokane",26.77,38.89,-12.12
"2921","53065",2017,"Basin and Range","Stevens",28.65,36.65,-8
"2922","53067",2017,"Fruitful Rim","Thurston",31.86,43.33,-11.47
"2923","53069",2017,"Fruitful Rim","Wahkiakum",18.95,30.69,-11.74
"2924","53071",2017,"Basin and Range","Walla Walla",30.85,38.71,-7.86
"2925","53073",2017,"Fruitful Rim","Whatcom",21.61,37.59,-15.98
"2926","53075",2017,"Basin and Range","Whitman",20.51,27.91,-7.4
"2927","53077",2017,"Fruitful Rim","Yakima",10.28,32.35,-22.07
"2928","54001",2017,"Eastern Uplands","Barbour",21.31,26.71,-5.4
"2929","54003",2017,"Eastern Uplands","Berkeley",25.5,31.08,-5.58
"2930","54005",2017,"Eastern Uplands","Boone",34.12,33.96,0.159999999999997
"2931","54007",2017,"Eastern Uplands","Braxton",21.76,29.54,-7.78
"2932","54009",2017,"Eastern Uplands","Brooke",21.21,22.45,-1.24
"2933","54011",2017,"Eastern Uplands","Cabell",21.01,24.02,-3.01
"2934","54013",2017,"Eastern Uplands","Calhoun",19.47,26.32,-6.85
"2935","54015",2017,"Eastern Uplands","Clay",14.68,20.65,-5.97
"2936","54017",2017,"Eastern Uplands","Doddridge",30.53,32.39,-1.86
"2937","54019",2017,"Eastern Uplands","Fayette",23.03,31.8,-8.77
"2938","54021",2017,"Eastern Uplands","Gilmer",28.95,29.48,-0.530000000000001
"2939","54023",2017,"Eastern Uplands","Grant",28.09,27.21,0.879999999999999
"2940","54025",2017,"Eastern Uplands","Greenbrier",24.66,30.96,-6.3
"2941","54027",2017,"Eastern Uplands","Hampshire",16.49,29.59,-13.1
"2942","54029",2017,"Eastern Uplands","Hancock",NA,22.94,NA
"2943","54031",2017,"Eastern Uplands","Hardy",21.31,31.24,-9.93
"2944","54033",2017,"Eastern Uplands","Harrison",29.99,34.1,-4.11
"2945","54035",2017,"Eastern Uplands","Jackson",25.24,28.64,-3.4
"2946","54037",2017,"Eastern Uplands","Jefferson",18.02,35.36,-17.34
"2947","54039",2017,"Eastern Uplands","Kanawha",26.3,27.99,-1.69
"2948","54041",2017,"Eastern Uplands","Lewis",21.37,24.78,-3.41
"2949","54043",2017,"Eastern Uplands","Lincoln",22.79,25.11,-2.32
"2950","54045",2017,"Eastern Uplands","Logan",NA,50,NA
"2951","54047",2017,"Eastern Uplands","McDowell",NA,NA,NA
"2952","54049",2017,"Eastern Uplands","Marion",25.24,23.7,1.54
"2953","54051",2017,"Eastern Uplands","Marshall",27.58,31.58,-4
"2954","54053",2017,"Eastern Uplands","Mason",18.94,25.19,-6.25
"2955","54055",2017,"Eastern Uplands","Mercer",17.99,21.78,-3.79
"2956","54057",2017,"Eastern Uplands","Mineral",21.97,29.08,-7.11
"2957","54059",2017,"Eastern Uplands","Mingo",NA,40,NA
"2958","54061",2017,"Eastern Uplands","Monongalia",27.17,30.82,-3.65
"2959","54063",2017,"Eastern Uplands","Monroe",21.82,28.8,-6.98
"2960","54065",2017,"Eastern Uplands","Morgan",27.65,35.66,-8.01
"2961","54067",2017,"Eastern Uplands","Nicholas",17.23,26.39,-9.16
"2962","54069",2017,"Eastern Uplands","Ohio",24.76,31.27,-6.51
"2963","54071",2017,"Eastern Uplands","Pendleton",17.63,23.5,-5.87
"2964","54073",2017,"Eastern Uplands","Pleasants",19.61,26.22,-6.61
"2965","54075",2017,"Eastern Uplands","Pocahontas",29.69,32.47,-2.78
"2966","54077",2017,"Eastern Uplands","Preston",25.29,29.33,-4.04
"2967","54079",2017,"Eastern Uplands","Putnam",22.26,25.61,-3.35
"2968","54081",2017,"Eastern Uplands","Raleigh",18.98,24.66,-5.68
"2969","54083",2017,"Eastern Uplands","Randolph",30.39,28.68,1.71
"2970","54085",2017,"Eastern Uplands","Ritchie",23.77,31.03,-7.26
"2971","54087",2017,"Eastern Uplands","Roane",25.79,28.55,-2.76
"2972","54089",2017,"Eastern Uplands","Summers",33.11,27.63,5.48
"2973","54091",2017,"Eastern Uplands","Taylor",26.48,29.79,-3.31
"2974","54093",2017,"Eastern Uplands","Tucker",30.84,31.16,-0.32
"2975","54095",2017,"Eastern Uplands","Tyler",22,22.28,-0.280000000000001
"2976","54097",2017,"Eastern Uplands","Upshur",22.53,30.13,-7.6
"2977","54099",2017,"Eastern Uplands","Wayne",23.46,24.07,-0.609999999999999
"2978","54101",2017,"Eastern Uplands","Webster",21.57,31.13,-9.56
"2979","54103",2017,"Eastern Uplands","Wetzel",34.14,30.61,3.53
"2980","54105",2017,"Eastern Uplands","Wirt",22.33,24.67,-2.34
"2981","54107",2017,"Eastern Uplands","Wood",21.55,27.48,-5.93
"2982","54109",2017,"Eastern Uplands","Wyoming",42.35,45.16,-2.81
"2983","55001",2017,"Northern Crescent","Adams",23.69,28.83,-5.14
"2984","55003",2017,"Northern Crescent","Ashland",32.83,39.74,-6.91
"2985","55005",2017,"Northern Crescent","Barron",20.57,24.75,-4.18
