GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "01025","Clarke, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.618,85.821,85.348,92.639,96.554,104.808,104.856,99.558,97.802,93.960,97.473,100.000,101.198,98.647,98.509,96.605,92.794,95.549,97.062
 "01025","Clarke, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",539533,552550,559307,625506,667131,742299,761486,740789,736987,725962,760688,794173,833313,835626,841959,836702,825412,876370,898449
 "01027","Clay, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",319510,325810,301783,334129,369465,414415,347630,320350,300219,301379,282215,280554,304082,307890,323067,344573,374890,414858,395198
 "01027","Clay, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",113.885,116.131,107.567,119.096,131.691,147.713,123.908,114.185,107.009,107.423,100.592,100.000,108.386,109.743,115.153,122.819,133.625,147.871,140.863
 "01027","Clay, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",255902,266728,250841,280212,313040,355679,312499,292693,284740,287746,273474,280554,310758,319745,341114,368041,404283,449094,446444
 "01029","Cleburne, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",275332,274879,268166,280339,293583,282809,260909,273272,264095,269240,250466,266164,284931,296158,313540,301107,297600,302085,276518
 "01029","Cleburne, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.444,103.274,100.752,105.326,110.301,106.253,98.026,102.670,99.223,101.156,94.102,100.000,107.051,111.269,117.799,113.128,111.811,113.496,103.890
 "01029","Cleburne, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",210413,213111,214084,238187,251914,253148,248828,264836,240784,255457,248745,266164,287578,304564,313774,296729,306775,318536,293412
 "01031","Coffee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1017582,1033102,1031246,1109937,1142337,1138429,1189194,1214074,1244302,1250436,1187709,1208587,1215078,1244847,1321004,1316062,1316284,1343962,1344913
 "01031","Coffee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.196,85.480,85.327,91.838,94.518,94.195,98.395,100.454,102.955,103.463,98.273,100.000,100.537,103.000,109.301,108.893,108.911,111.201,111.280
 "01031","Coffee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",798754,820387,838087,932002,965559,982251,1063540,1109353,1156636,1183258,1153916,1208587,1242826,1293018,1396531,1406574,1426212,1476132,1508238
 "01033","Colbert, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1905753,1947639,2104257,2220080,2270866,2331622,2291102,2302075,2061356,2265757,2381396,2380790,2637232,2562641,2507173,2398084,2277382,2324195,2375926
 "01033","Colbert, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",80.047,81.806,88.385,93.250,95.383,97.935,96.233,96.694,86.583,95.168,100.025,100.000,110.771,107.638,105.308,100.726,95.657,97.623,99.796
 "01033","Colbert, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1415688,1470292,1625779,1792657,1907776,2063344,2089453,2142428,1918713,2152899,2342966,2380790,2664387,2654110,2632285,2518189,2469725,2599129,2668227
 "01035","Conecuh, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",304138,302925,304005,329552,375570,443894,467808,478605,473138,413055,467520,512476,513915,453087,462259,469117,456322,447187,461600
 "01035","Conecuh, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",59.347,59.110,59.321,64.306,73.285,86.617,91.284,93.391,92.324,80.600,91.228,100.000,100.281,88.411,90.201,91.539,89.043,87.260,90.072
 "01035","Conecuh, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",248334,251365,258495,291474,352420,427014,469991,558447,415970,406270,492552,512476,537801,472137,389071,384416,399073,411683,418672
 "01037","Coosa, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",160425,162202,155348,163309,173689,194718,180070,168725,171565,166266,170669,161870,175735,165549,167613,171965,167835,171137,174730
 "01037","Coosa, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.107,100.205,95.970,100.889,107.301,120.293,111.243,104.235,105.989,102.715,105.436,100.000,108.565,102.273,103.548,106.236,103.685,105.725,107.945
 "01037","Coosa, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",137301,140972,136869,145850,157992,179747,171299,160828,168926,162473,167501,161870,179602,173496,180487,187210,185047,191560,202546
 "01039","Covington, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",977747,1051458,993371,1072510,1057504,1088989,1079436,1057760,1054546,1105710,1057672,1115077,1153977,1148391,1147561,1140024,1151852,1145891,1121281
 "01039","Covington, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.684,94.295,89.085,96.183,94.837,97.660,96.804,94.860,94.572,99.160,94.852,100.000,103.489,102.988,102.913,102.237,103.298,102.763,100.556
 "01039","Covington, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",770823,833766,803501,898190,901542,956100,985796,983012,1006744,1066211,1042397,1115077,1180349,1205086,1222913,1221217,1257419,1279032,1283429
